freq,psd_x,psd_y,psd_z,psd_xyz
0.0,4.797e+00,1.647e+02,1.280e+01,1.823e+02
1.5,1.854e+01,1.112e+02,4.052e+01,1.702e+02
3.0,2.325e+01,3.181e+01,4.438e+01,9.943e+01
4.5,2.228e+01,2.602e+02,4.610e+01,3.286e+02
6.0,2.532e+01,9.960e+02,4.620e+01,1.068e+03
7.5,2.654e+01,1.643e+03,5.101e+01,1.720e+03
9.0,2.747e+01,2.329e+03,4.725e+01,2.404e+03
10.5,3.161e+01,3.143e+03,4.950e+01,3.224e+03
12.0,3.635e+01,4.023e+03,5.529e+01,4.115e+03
13.5,4.146e+01,5.128e+03,5.674e+01,5.226e+03
15.0,4.595e+01,6.604e+03,5.895e+01,6.709e+03
16.5,4.814e+01,8.331e+03,7.000e+01,8.449e+03
18.0,5.552e+01,1.066e+04,8.820e+01,1.080e+04
19.5,6.546e+01,1.280e+04,8.339e+01,1.295e+04
21.0,7.250e+01,1.335e+04,7.365e+01,1.350e+04
22.5,7.835e+01,1.444e+04,7.281e+01,1.459e+04
24.0,8.561e+01,1.623e+04,6.739e+01,1.639e+04
25.5,8.897e+01,1.761e+04,6.372e+01,1.776e+04
27.0,1.013e+02,1.821e+04,6.321e+01,1.837e+04
28.5,1.066e+02,2.006e+04,6.565e+01,2.023e+04
30.0,1.297e+02,2.353e+04,8.756e+01,2.375e+04
31.5,1.759e+02,2.733e+04,1.433e+02,2.765e+04
33.0,1.631e+02,3.058e+04,2.483e+02,3.099e+04
34.5,1.250e+02,3.487e+04,4.321e+02,3.542e+04
36.0,1.148e+02,3.937e+04,6.816e+02,4.017e+04
37.5,1.159e+02,4.421e+04,9.296e+02,4.526e+04
39.0,1.238e+02,4.910e+04,1.414e+03,5.064e+04
40.5,1.350e+02,5.511e+04,2.316e+03,5.756e+04
42.0,1.674e+02,6.300e+04,3.581e+03,6.675e+04
43.5,2.218e+02,7.015e+04,4.270e+03,7.464e+04
45.0,2.720e+02,7.867e+04,5.444e+03,8.438e+04
46.5,3.014e+02,8.765e+04,8.542e+03,9.650e+04
48.0,2.904e+02,9.252e+04,1.279e+04,1.056e+05
49.5,2.580e+02,9.373e+04,1.616e+04,1.101e+05
51.0,2.619e+02,1.085e+05,1.534e+04,1.242e+05
52.5,3.320e+02,1.526e+05,1.020e+04,1.631e+05
54.0,5.725e+02,2.435e+05,7.833e+03,2.519e+05
55.6,1.233e+03,3.375e+05,8.845e+03,3.476e+05
57.1,1.745e+03,4.062e+05,1.003e+04,4.180e+05
58.6,2.023e+03,4.183e+05,8.451e+03,4.288e+05
