freq,psd_x,psd_y,psd_z,psd_xyz
0.0,5.439e+02,5.040e+01,1.401e+01,6.083e+02
1.5,4.153e+02,9.840e+01,3.833e+01,5.520e+02
3.0,1.597e+02,1.091e+02,4.201e+01,3.108e+02
4.5,4.719e+02,1.013e+02,4.487e+01,6.180e+02
6.1,1.246e+03,6.885e+01,6.535e+01,1.380e+03
7.6,1.982e+03,7.103e+01,7.702e+01,2.130e+03
9.1,2.790e+03,8.884e+01,6.074e+01,2.940e+03
10.6,3.754e+03,1.016e+02,6.427e+01,3.920e+03
12.1,4.841e+03,8.943e+01,4.575e+01,4.976e+03
13.6,6.226e+03,8.916e+01,4.115e+01,6.356e+03
15.1,7.869e+03,9.189e+01,3.718e+01,7.998e+03
16.6,9.831e+03,9.201e+01,3.981e+01,9.963e+03
18.2,1.239e+04,9.605e+01,4.322e+01,1.253e+04
19.7,1.497e+04,9.668e+01,4.866e+01,1.511e+04
21.2,1.753e+04,1.001e+02,6.130e+01,1.769e+04
22.7,2.086e+04,1.300e+02,7.457e+01,2.106e+04
24.2,2.422e+04,1.566e+02,6.916e+01,2.444e+04
25.7,2.707e+04,1.709e+02,6.364e+01,2.731e+04
27.2,3.128e+04,1.929e+02,7.215e+01,3.154e+04
28.7,3.723e+04,2.008e+02,7.097e+01,3.751e+04
30.3,4.453e+04,2.082e+02,7.177e+01,4.481e+04
31.8,5.339e+04,2.799e+02,1.023e+02,5.377e+04
33.3,6.434e+04,4.783e+02,1.853e+02,6.500e+04
34.8,7.778e+04,7.666e+02,3.807e+02,7.893e+04
36.3,9.460e+04,1.041e+03,6.702e+02,9.631e+04
37.8,1.151e+05,1.113e+03,1.011e+03,1.173e+05
39.3,1.437e+05,1.042e+03,1.728e+03,1.465e+05
40.9,1.772e+05,9.152e+02,3.111e+03,1.813e+05
42.4,2.096e+05,8.575e+02,4.731e+03,2.152e+05
43.9,2.566e+05,1.135e+03,5.095e+03,2.629e+05
45.4,3.098e+05,1.759e+03,2.828e+03,3.144e+05
46.9,4.001e+05,3.067e+03,1.127e+03,4.043e+05
48.4,5.628e+05,8.478e+03,2.518e+03,5.738e+05
49.9,8.112e+05,3.423e+04,7.547e+03,8.530e+05
51.4,1.139e+06,1.318e+05,1.720e+04,1.288e+06
53.0,1.554e+06,1.915e+05,2.915e+04,1.775e+06
54.5,1.878e+06,1.373e+05,2.836e+04,2.043e+06
56.0,1.863e+06,1.131e+05,1.819e+04,1.994e+06
57.5,1.657e+06,1.222e+05,9.754e+03,1.788e+06
59.0,1.391e+06,1.128e+05,5.418e+03,1.510e+06
60.5,1.066e+06,9.542e+04,3.222e+03,1.165e+06
62.0,7.639e+05,8.781e+04,2.059e+03,8.538e+05
63.6,5.564e+05,1.126e+05,1.057e+03,6.700e+05
65.1,4.435e+05,1.587e+05,6.606e+02,6.029e+05
66.6,3.785e+05,1.309e+05,8.298e+02,5.102e+05
68.1,3.369e+05,4.532e+04,7.075e+02,3.829e+05
69.6,2.716e+05,1.403e+04,5.428e+02,2.862e+05
71.1,2.077e+05,9.585e+03,4.719e+02,2.178e+05
72.6,1.696e+05,8.864e+03,4.040e+02,1.789e+05
74.1,1.494e+05,9.330e+03,3.902e+02,1.591e+05
75.7,1.656e+05,1.176e+04,6.296e+02,1.780e+05
77.2,2.480e+05,1.852e+04,1.292e+03,2.678e+05
78.7,2.854e+05,1.508e+04,1.291e+03,3.018e+05
80.2,3.344e+05,9.544e+03,1.200e+03,3.452e+05
81.7,4.138e+05,7.732e+03,1.414e+03,4.229e+05
83.2,4.222e+05,5.167e+03,1.443e+03,4.288e+05
84.7,4.449e+05,6.340e+03,1.650e+03,4.529e+05
86.2,4.624e+05,9.209e+03,2.244e+03,4.739e+05
87.8,4.430e+05,1.262e+04,2.942e+03,4.586e+05
89.3,4.115e+05,1.559e+04,3.463e+03,4.305e+05
90.8,3.721e+05,1.972e+04,4.109e+03,3.959e+05
92.3,3.297e+05,2.658e+04,4.724e+03,3.610e+05
93.8,2.845e+05,3.428e+04,5.072e+03,3.239e+05
95.3,2.391e+05,3.865e+04,5.439e+03,2.832e+05
96.8,1.976e+05,4.554e+04,6.063e+03,2.492e+05
98.4,1.632e+05,4.891e+04,6.546e+03,2.187e+05
