freq,psd_x,psd_y,psd_z,psd_xyz
0.0,5.994e+00,1.268e+02,1.046e+01,1.433e+02
1.5,1.953e+01,9.090e+01,4.300e+01,1.534e+02
3.0,2.189e+01,3.062e+01,4.303e+01,9.554e+01
4.5,2.168e+01,2.453e+02,4.052e+01,3.075e+02
6.0,2.359e+01,9.989e+02,4.431e+01,1.067e+03
7.5,2.620e+01,1.608e+03,4.650e+01,1.681e+03
9.0,2.950e+01,2.233e+03,4.458e+01,2.307e+03
10.5,2.967e+01,3.012e+03,4.535e+01,3.087e+03
12.0,3.605e+01,3.785e+03,4.582e+01,3.867e+03
13.5,4.013e+01,4.739e+03,4.428e+01,4.823e+03
14.9,4.768e+01,6.018e+03,4.913e+01,6.115e+03
16.4,4.975e+01,7.509e+03,4.897e+01,7.608e+03
17.9,5.734e+01,9.615e+03,4.958e+01,9.722e+03
19.4,6.751e+01,1.185e+04,5.694e+01,1.197e+04
20.9,6.994e+01,1.240e+04,5.214e+01,1.252e+04
22.4,7.564e+01,1.325e+04,4.508e+01,1.337e+04
23.9,8.370e+01,1.464e+04,4.080e+01,1.477e+04
25.4,9.070e+01,1.562e+04,3.880e+01,1.575e+04
26.9,1.003e+02,1.638e+04,4.232e+01,1.652e+04
28.4,1.046e+02,1.828e+04,5.267e+01,1.844e+04
29.9,1.137e+02,2.091e+04,6.838e+01,2.109e+04
31.4,1.154e+02,2.444e+04,9.337e+01,2.465e+04
32.9,1.177e+02,2.826e+04,1.383e+02,2.851e+04
34.4,1.182e+02,3.070e+04,2.246e+02,3.104e+04
35.9,1.151e+02,3.219e+04,3.013e+02,3.261e+04
37.4,1.107e+02,3.272e+04,3.523e+02,3.319e+04
38.9,1.080e+02,3.305e+04,4.194e+02,3.358e+04
40.4,1.153e+02,3.421e+04,4.726e+02,3.479e+04
41.9,1.422e+02,3.631e+04,5.698e+02,3.702e+04
43.4,1.633e+02,3.863e+04,6.203e+02,3.941e+04
44.8,1.865e+02,4.103e+04,6.208e+02,4.184e+04
46.3,1.612e+02,4.151e+04,6.921e+02,4.237e+04
47.8,1.435e+02,4.307e+04,1.061e+03,4.427e+04
49.3,1.785e+02,4.728e+04,2.530e+03,4.999e+04
50.8,2.823e+02,5.390e+04,7.594e+03,6.178e+04
52.3,4.064e+02,6.486e+04,1.418e+04,7.945e+04
53.8,4.798e+02,8.571e+04,1.151e+04,9.771e+04
55.3,4.652e+02,1.137e+05,4.357e+03,1.186e+05
56.8,5.020e+02,1.526e+05,2.343e+03,1.555e+05
58.3,8.650e+02,2.055e+05,2.729e+03,2.091e+05
59.8,1.775e+03,2.535e+05,2.668e+03,2.580e+05
61.3,2.274e+03,2.926e+05,1.222e+03,2.961e+05
62.8,1.524e+03,3.056e+05,3.211e+02,3.074e+05
64.3,8.810e+02,2.568e+05,2.461e+02,2.579e+05
65.8,9.702e+02,1.961e+05,2.167e+02,1.973e+05
67.3,1.426e+03,1.603e+05,2.870e+02,1.620e+05
68.8,1.700e+03,1.370e+05,5.720e+02,1.393e+05
70.3,2.011e+03,1.115e+05,9.420e+02,1.144e+05
71.8,2.766e+03,8.526e+04,1.752e+03,8.978e+04
73.2,3.732e+03,6.586e+04,3.258e+03,7.285e+04
74.7,4.740e+03,5.195e+04,4.821e+03,6.151e+04
76.2,5.238e+03,4.093e+04,5.997e+03,5.216e+04
77.7,4.973e+03,3.140e+04,6.294e+03,4.267e+04
79.2,4.451e+03,2.314e+04,5.793e+03,3.339e+04
80.7,4.032e+03,1.680e+04,5.063e+03,2.590e+04
82.2,3.634e+03,1.283e+04,4.358e+03,2.082e+04
83.7,3.354e+03,9.906e+03,3.864e+03,1.712e+04
85.2,3.241e+03,7.559e+03,3.401e+03,1.420e+04
86.7,3.827e+03,6.574e+03,3.494e+03,1.390e+04
88.2,4.212e+03,6.085e+03,3.219e+03,1.351e+04
89.7,3.793e+03,7.335e+03,2.373e+03,1.350e+04
91.2,3.577e+03,9.222e+03,1.826e+03,1.463e+04
92.7,3.474e+03,1.162e+04,1.397e+03,1.649e+04
94.2,3.082e+03,1.518e+04,1.007e+03,1.927e+04
95.7,2.474e+03,1.927e+04,9.277e+02,2.267e+04
97.2,1.709e+03,2.120e+04,1.092e+03,2.401e+04
98.7,1.027e+03,1.671e+04,1.075e+03,1.881e+04
100.2,1.152e+03,1.451e+04,1.683e+03,1.735e+04
101.6,1.676e+03,1.558e+04,2.892e+03,2.014e+04
103.1,2.225e+03,1.549e+04,4.195e+03,2.191e+04
104.6,2.303e+03,1.289e+04,4.680e+03,1.988e+04
106.1,2.129e+03,9.411e+03,4.804e+03,1.634e+04
107.6,2.569e+03,7.008e+03,5.833e+03,1.541e+04
109.1,2.549e+03,4.479e+03,5.940e+03,1.297e+04
110.6,2.290e+03,2.785e+03,5.799e+03,1.087e+04
112.1,2.321e+03,1.823e+03,5.605e+03,9.749e+03
113.6,2.150e+03,1.207e+03,5.115e+03,8.472e+03
115.1,2.247e+03,1.219e+03,5.014e+03,8.480e+03
116.6,3.002e+03,1.717e+03,5.263e+03,9.983e+03
118.1,2.520e+03,2.953e+03,5.029e+03,1.050e+04
119.6,2.174e+03,5.843e+03,4.962e+03,1.298e+04
121.1,2.136e+03,1.083e+04,5.157e+03,1.812e+04
122.6,2.026e+03,1.832e+04,5.291e+03,2.563e+04
124.1,1.862e+03,2.814e+04,5.362e+03,3.537e+04
125.6,1.893e+03,4.145e+04,5.671e+03,4.901e+04
127.1,2.290e+03,6.095e+04,6.250e+03,6.949e+04
128.6,2.951e+03,9.207e+04,7.507e+03,1.025e+05
130.1,3.373e+03,1.427e+05,8.583e+03,1.547e+05
131.5,3.504e+03,1.812e+05,8.472e+03,1.931e+05
133.0,2.045e+03,1.070e+05,4.346e+03,1.134e+05
134.5,4.668e+02,2.623e+04,7.421e+02,2.744e+04
136.0,3.039e+02,2.082e+04,4.133e+02,2.154e+04
137.5,2.518e+02,1.936e+04,3.188e+02,1.993e+04
139.0,2.123e+02,1.749e+04,2.497e+02,1.795e+04
140.5,1.679e+02,1.489e+04,1.933e+02,1.525e+04
142.0,1.478e+02,1.257e+04,1.634e+02,1.288e+04
143.5,1.238e+02,1.073e+04,1.376e+02,1.099e+04
145.0,1.055e+02,9.077e+03,1.242e+02,9.306e+03
146.5,9.509e+01,7.717e+03,1.125e+02,7.924e+03
148.0,9.495e+01,6.649e+03,1.058e+02,6.850e+03
149.5,8.811e+01,6.036e+03,1.081e+02,6.233e+03
151.0,8.969e+01,5.353e+03,1.049e+02,5.547e+03
152.5,1.073e+02,4.834e+03,1.045e+02,5.046e+03
154.0,1.278e+02,4.678e+03,1.172e+02,4.923e+03
155.5,1.632e+02,4.587e+03,1.402e+02,4.890e+03
157.0,1.772e+02,4.258e+03,1.534e+02,4.589e+03
158.5,2.011e+02,4.131e+03,1.482e+02,4.480e+03
159.9,2.080e+02,3.825e+03,1.437e+02,4.177e+03
161.4,1.919e+02,3.423e+03,1.406e+02,3.755e+03
162.9,1.902e+02,3.277e+03,1.472e+02,3.615e+03
164.4,2.055e+02,3.085e+03,1.592e+02,3.450e+03
165.9,2.177e+02,3.133e+03,1.753e+02,3.526e+03
167.4,2.055e+02,2.996e+03,1.763e+02,3.378e+03
168.9,2.005e+02,2.720e+03,1.662e+02,3.087e+03
170.4,1.998e+02,2.520e+03,1.697e+02,2.890e+03
171.9,1.994e+02,2.360e+03,1.747e+02,2.734e+03
173.4,1.976e+02,2.182e+03,1.726e+02,2.552e+03
174.9,1.848e+02,2.048e+03,1.526e+02,2.386e+03
176.4,1.571e+02,2.047e+03,1.572e+02,2.361e+03
177.9,1.334e+02,1.952e+03,1.508e+02,2.236e+03
179.4,1.257e+02,1.795e+03,1.391e+02,2.060e+03
180.9,1.665e+02,1.426e+03,1.468e+02,1.739e+03
182.4,2.055e+02,1.121e+03,1.629e+02,1.489e+03
183.9,2.334e+02,9.105e+02,1.706e+02,1.314e+03
185.4,2.480e+02,7.451e+02,1.636e+02,1.157e+03
186.9,2.380e+02,7.645e+02,1.469e+02,1.149e+03
188.4,2.051e+02,8.640e+02,1.241e+02,1.193e+03
189.8,1.680e+02,8.864e+02,1.060e+02,1.160e+03
191.3,1.322e+02,8.738e+02,9.931e+01,1.105e+03
192.8,1.017e+02,8.772e+02,9.021e+01,1.069e+03
194.3,9.301e+01,9.025e+02,1.033e+02,1.099e+03
195.8,8.982e+01,9.355e+02,1.217e+02,1.147e+03
197.3,1.025e+02,8.750e+02,1.631e+02,1.141e+03
198.8,1.516e+02,7.696e+02,2.201e+02,1.141e+03
