freq,psd_x,psd_y,psd_z,psd_xyz
0.0,4.041e+00,1.375e+02,6.874e+00,1.484e+02
1.5,1.352e+01,9.176e+01,2.439e+01,1.297e+02
3.0,1.617e+01,2.802e+01,2.698e+01,7.117e+01
4.5,1.688e+01,2.473e+02,2.903e+01,2.932e+02
6.0,1.984e+01,9.844e+02,2.953e+01,1.034e+03
7.5,2.174e+01,1.604e+03,2.988e+01,1.656e+03
9.0,2.532e+01,2.280e+03,3.050e+01,2.336e+03
10.5,2.857e+01,3.076e+03,3.344e+01,3.138e+03
12.0,2.916e+01,3.952e+03,3.761e+01,4.019e+03
13.5,2.920e+01,5.038e+03,4.060e+01,5.107e+03
15.0,3.409e+01,6.492e+03,4.082e+01,6.567e+03
16.5,3.956e+01,8.232e+03,4.673e+01,8.319e+03
18.0,4.871e+01,1.045e+04,5.493e+01,1.055e+04
19.5,5.777e+01,1.269e+04,5.513e+01,1.281e+04
21.0,6.778e+01,1.335e+04,5.096e+01,1.347e+04
22.5,7.149e+01,1.428e+04,4.824e+01,1.440e+04
24.0,7.193e+01,1.600e+04,4.909e+01,1.612e+04
25.5,7.576e+01,1.750e+04,4.722e+01,1.762e+04
27.0,9.294e+01,1.844e+04,4.828e+01,1.858e+04
28.6,1.124e+02,2.016e+04,4.557e+01,2.031e+04
30.1,1.227e+02,2.302e+04,4.707e+01,2.319e+04
31.6,1.273e+02,2.652e+04,5.672e+01,2.671e+04
33.1,1.419e+02,2.952e+04,8.317e+01,2.974e+04
34.6,1.498e+02,3.227e+04,1.655e+02,3.258e+04
36.1,1.277e+02,3.559e+04,2.996e+02,3.602e+04
37.6,1.167e+02,3.973e+04,4.345e+02,4.028e+04
39.1,1.196e+02,4.407e+04,6.018e+02,4.479e+04
40.6,1.233e+02,4.791e+04,8.252e+02,4.886e+04
42.1,1.452e+02,5.317e+04,9.131e+02,5.423e+04
43.6,1.764e+02,6.133e+04,1.128e+03,6.264e+04
45.1,2.004e+02,7.004e+04,1.987e+03,7.223e+04
46.6,2.056e+02,7.634e+04,3.524e+03,8.007e+04
48.1,2.024e+02,7.829e+04,5.402e+03,8.389e+04
49.6,1.924e+02,7.647e+04,7.000e+03,8.366e+04
51.1,2.028e+02,8.586e+04,7.982e+03,9.404e+04
52.6,2.014e+02,1.139e+05,7.480e+03,1.216e+05
54.1,2.214e+02,1.732e+05,6.190e+03,1.796e+05
55.6,5.399e+02,2.456e+05,4.642e+03,2.508e+05
57.1,1.093e+03,3.204e+05,4.392e+03,3.259e+05
58.6,1.728e+03,3.768e+05,4.449e+03,3.829e+05
60.1,2.189e+03,3.715e+05,3.819e+03,3.775e+05
61.6,2.043e+03,3.467e+05,2.603e+03,3.514e+05
63.1,1.495e+03,2.985e+05,1.309e+03,3.013e+05
64.6,1.162e+03,2.197e+05,6.630e+02,2.215e+05
66.1,9.530e+02,1.571e+05,3.700e+02,1.584e+05
67.6,6.007e+02,1.180e+05,2.242e+02,1.188e+05
69.1,3.609e+02,8.989e+04,1.743e+02,9.043e+04
70.6,3.544e+02,6.800e+04,1.684e+02,6.853e+04
72.1,5.079e+02,5.318e+04,2.005e+02,5.389e+04
73.6,1.169e+03,4.438e+04,4.056e+02,4.596e+04
75.1,1.948e+03,3.656e+04,8.981e+02,3.941e+04
76.6,2.009e+03,2.880e+04,1.306e+03,3.212e+04
78.1,1.820e+03,2.204e+04,1.523e+03,2.538e+04
79.6,2.003e+03,1.703e+04,1.940e+03,2.097e+04
